"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","fico_range_low","fico_range_high","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","last_fico_range_high","last_fico_range_low","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_fico_range_low","sec_app_fico_range_high","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"159170615","","16000","16000","16000"," 36 months"," 17.74%","576.36","C","C5","","n/a","OWN","0","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159170615","","other","Other","826xx","WY","","0","Nov-2008","735","739","0","","","3","0","4345","79%","6","w","14965.37","14965.37","1713.31","1713.31","1034.63","678.68","0.0","0.0","0.0","Dec-2019","576.36","Jan-2020","Nov-2019","779","775","0","","1","Joint App","50000","19.32","Not Verified","0","0","26947","0","1","0","1","18","22602","80","0","1","4345","80","5500","2","1","1","2","8982","1155","79","0","0","130","120","19","18","0","19","","1","","0","1","1","2","2","3","2","3","1","3","0","0","0","0","100","50","0","0","33853","26947","5500","28353","10083","685","689","Nov-2008","2","0","7","67.2","1","6","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"159210254","","10000","10000","10000"," 60 months"," 15.24%","239.17","C","C2","banquet server","10+ years","OWN","30000","Verified","Sep-2019","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159210254","","debt_consolidation","Debt consolidation","548xx","WI","36.88","0","Mar-2007","775","779","0","","","8","0","4681","22.5%","11","w","0.00","0.00","10097.3633333325","10097.36","10000.00","97.36","0.0","0.0","0.0","Oct-2019","105.83","","Oct-2019","779","775","0","","1","Joint App","50000","24.56","Verified","0","0","29835","1","2","1","1","11","25154","71","2","3","2738","53","20800","1","2","2","4","3729","15018","15.6","0","0","150","142","5","5","0","5","","11","","0","2","3","5","5","4","6","7","3","8","0","0","0","3","100","0","0","0","56504","29835","17800","35704","19377","740","744","May-1999","3","0","8","29.1","0","12","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"159226028","","15000","15000","15000"," 60 months"," 14.30%","351.37","C","C1","Chief Advisor Litigation Technology Unit","1 year","MORTGAGE","115000","Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159226028","","credit_card","Credit card refinancing","750xx","TX","30.88","1","Apr-1993","680","684","0","10","","15","0","24725","44%","36","w","14475.94","14475.94","1042.19","1042.19","524.06","518.13","0.0","0.0","0.0","Dec-2019","351.37","Jan-2020","Nov-2019","729","725","0","70","1","Individual","","","","0","8793","217421","1","5","1","2","12","70834","60","2","3","12633","52","56200","1","7","1","5","15530","20775","54.3","0","0","154","317","2","2","4","2","70","12","10","3","5","5","7","9","18","9","12","5","15","0","0","0","3","91.4","33.3","0","0","301623","95559","45500","99724","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159328733","","24000","24000","24000"," 36 months"," 10.33%","778.14","B","B1","Accountant","10+ years","RENT","71000","Source Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159328733","","debt_consolidation","Debt consolidation","598xx","MT","11.41","1","Mar-2005","670","674","3","20","","13","0","3539","11%","77","w","22270.58","22270.58","2320.65","2320.65","1729.42","591.23","0.0","0.0","0.0","Dec-2019","778.14","Jan-2020","Nov-2019","674","670","0","61","1","Individual","","","","0","5152","343774","2","3","3","5","3","151164","101","2","3","1887","66","32100","8","3","13","8","28648","24274","12.1","0","0","112","174","8","3","2","8","73","0","61","1","4","5","8","18","40","9","35","5","13","0","0","0","5","90.9","0","0","0","383103","154703","27600","149226","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159374118","","15000","15000","15000"," 36 months"," 11.02%","491.23","B","B2","Teacher","10+ years","MORTGAGE","65000","Source Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159374118","","home_improvement","Home improvement","535xx","WI","10.4","0","Jul-2002","720","724","0","27","","12","0","8121","28.5%","21","w","13929.79","13929.79","1464.51","1464.51","1070.21","394.30","0.0","0.0","0.0","Dec-2019","491.23","Jan-2020","Nov-2019","739","735","0","27","1","Individual","","","","0","0","391333","0","4","2","4","7","57330","105","0","0","7776","79","28500","4","1","4","4","32611","14781","34.6","0","0","172","206","48","7","1","48","42","1","42","1","2","3","5","5","10","7","10","3","12","0","0","0","2","85.7","20","0","0","440587","65451","22600","54887","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159500811","","30000","30000","30000"," 60 months"," 18.62%","771.96","D","D1","SPECIAL ED ASST","10+ years","MORTGAGE","120000","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159500811","","credit_card","Credit card refinancing","900xx","CA","14.75","0","Feb-2005","685","689","0","","","21","0","48360","43.9%","32","w","29066.28","29066.28","2284.85","2284.85","933.72","1351.13","0.0","0.0","0.0","Dec-2019","771.96","Jan-2020","Nov-2019","704","700","0","","1","Individual","","","","0","0","51879","3","1","0","2","20","3519","44","5","8","16402","44","110200","1","0","1","10","2470","49687","48.2","0","0","175","94","4","4","0","4","","11","","0","6","9","12","16","6","20","26","9","21","0","0","0","5","100","25","0","0","118118","51879","95900","7918","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159522929","","15000","15000","15000"," 60 months"," 18.62%","385.98","D","D1","Lead Curriculum Designer ","6 years","RENT","45000","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159522929","","debt_consolidation","Debt consolidation","786xx","TX","8.85","0","Dec-2013","665","669","0","","","8","0","8014","45.3%","13","w","14533.14","14533.14","1142.42","1142.42","466.86","675.56","0.0","0.0","0.0","Dec-2019","385.98","Jan-2020","Dec-2019","734","730","0","","1","Individual","","","","0","502","8014","2","0","2","2","3","0","","1","1","2582","45","17700","2","0","3","5","1002","8970","42.1","0","0","25","69","8","3","2","8","","7","","0","6","8","6","6","3","8","8","8","8","0","0","0","4","100","16.7","0","0","17700","8014","15500","0","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159545060","","4000","4000","4000"," 36 months"," 14.30%","137.3","C","C1","OGP","9 years","MORTGAGE","30000","Source Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159545060","","credit_card","Credit card refinancing","141xx","NY","24.48","3","Jul-2002","665","669","1","20","","9","0","3857","48.2%","20","w","3729.51","3729.51","408.72","408.72","270.49","138.23","0.0","0.0","0.0","Dec-2019","137.3","Jan-2020","Nov-2019","679","675","0","22","1","Individual","","","","0","0","145324","1","3","1","1","7","79635","55","1","1","3214","53","8000","2","0","3","3","16147","2743","58.4","0","0","206","176","11","2","1","63","25","2","20","5","2","2","2","4","7","5","12","2","9","0","0","1","3","44.4","50","0","0","123956","83492","6600","53956","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159548882","","18200","18200","18200"," 36 months"," 17.74%","655.61","C","C5","Child and Family Speclist","4 years","MORTGAGE","135000","Source Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159548882","","debt_consolidation","Debt consolidation","117xx","NY","15.95","1","Feb-2004","715","719","2","23","","14","0","13530","49.6%","30","w","17023.11","17023.11","1948.89","1948.89","1176.89","772.00","0.0","0.0","0.0","Dec-2019","655.61","Jan-2020","Nov-2019","749","745","0","","1","Individual","","","","0","0","232185","1","3","0","1","16","101820","22","2","2","4907","37","27300","2","3","2","3","16585","5890","65.6","0","0","159","187","2","2","3","2","47","1","47","0","4","7","4","7","10","10","17","7","14","0","0","0","2","84","50","0","0","284074","115350","17100","114938","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159571805","","24000","24000","24000"," 60 months"," 13.08%","547.06","B","B5","Vice President ","10+ years","MORTGAGE","90000","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159571805","","home_improvement","Home improvement","710xx","LA","20.19","0","Feb-1991","665","669","1","","80","9","1","4138","47%","21","w","23134.25","23134.25","1623.74","1623.74","865.75","757.99","0.0","0.0","0.0","Dec-2019","547.06","Jan-2020","Nov-2019","679","675","0","","1","Individual","","","","0","510","38915","0","4","0","1","16","34777","56","0","0","716","55","8800","1","0","3","1","6486","1284","35.8","0","0","141","89","47","16","2","68","","5","","0","1","2","1","3","12","3","5","2","8","0","0","0","0","100","0","1","0","71117","38915","2000","62317","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
